,RMSE,MAE,R2,MAPE,RMSE_log,MAE_log,R2_log
lightgbm,103703642.19340008,48342738.20610326,0.7562478485054693,210.61965931281458,1.0446617197729633,0.7398109082322541,0.7569969336841803
xgboost,110568292.17232874,50326217.53916832,0.722909496581309,192.15433023442236,1.0573125428773125,0.7544253057169431,0.7510757767855591
random_forest,113143001.07499218,52632040.227305636,0.7098545084402363,233.7006002232534,1.0920234174370897,0.8045232807721346,0.734463458133477
