id,title,budget,revenue,runtime,release_date,vote_average,vote_count,popularity,overview,genres,production_companies,original_language,status
931176,Ah Girls Go Army,1428000,1785000,121,2022-02-01,5.7,3,0.6255,"WHAT IF, in the unforeseen future, when there are not enough boys in Singapore? If Girls have to serve National Service also, what will happen? The story will focus on the first batch of female recruits, a bunch of Gen Z teens and youngsters with different backgrounds and education. As they trained under the fierce leadership of Sergeant Chow and Lieutenant Roxanne, they find themselves being pushed to the limit of their potential. Together, they overcome hardship and initial resistance to serve NS and discover newfound abilities, using it to solve and mend relationships in their personal life as well.",Comedy|Drama,J Team Productions|MM2 Entertainment,en,Released
811631,Infinite Storm,4749917,1707067,97,2022-03-25,5.7,326,5.0036,One woman's journey for self-discovery and turns into a harrowing tale of survival.,Thriller|Adventure|Drama|Mystery,Maven Screen Media|JamTart Productions|Stage 6 Films|Off Media|dFlights|Studio Orka,en,Released
933554,2000 Mules,5000000,1465513,86,2022-05-20,5.9,44,0.2307,"Bestselling author and award-winning filmmaker, Dinesh D’Souza, exposes widespread coordinated voter fraud in the 2020 election sufficient to change the overall outcome. Drawing on research provided by the election integrity group, True the Vote, “2000 Mules” offers two types of evidence: geotracking and video. The geotracking evidence, based on a database of ten trillion cell phone pings, exposes an elaborate network of professional operatives, called mules, delivering fraudulent votes to mail-in boxes in the five key states where the election was decided. Video evidence obtained from official surveillance cameras corroborates the cellular positioning data. The film concludes by exploring ways to assist in the prevention of election fraud in future democratic elections.",Documentary,D'Souza Media|Salem Media Group,en,Released
924482,The Ledge,2500000,685303,86,2022-02-18,6.561,384,1.756,"A rock climbing adventure between two friends turns into a terrifying nightmare. After Kelly captures the murder of her best friend on camera, she becomes the next target of a tight knit group of friends who will stop at nothing to destroy the evidence and anyone in their way.",Thriller|Adventure,Head Gear Films|Metrol Technology|Kreo Films|Trigger Films|Red Production|Evolution Pictures,en,Released
420821,Chip 'n Dale: Rescue Rangers,70000000,623190,99,2022-05-20,6.997,1318,3.0171,"Decades since their successful television series was canceled, Chip has succumbed to a life of suburban domesticity as an insurance salesman. Dale, meanwhile, has had CGI surgery and works the nostalgia convention circuit, desperate to relive his glory days. When a former cast mate mysteriously disappears, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again to save their friend’s life.",Animation|Family|Comedy|Adventure|Mystery,Walt Disney Pictures|Mandeville Films,en,Released
724665,"Confess, Fletch",20000000,500000,99,2022-09-16,6.207,365,1.2443,"The roguishly charming and endlessly troublesome Fletch becomes the prime suspect in a murder case while searching for a stolen art collection. The only way to prove his innocence? Find out which of the long list of suspects is the culprit - from the eccentric art dealer and a missing playboy to a crazy neighbor and Fletch’s Italian girlfriend. Crime, in fact, has never been this disorganized.",Comedy|Mystery|Crime,Miramax,en,Released
818110,The Magic Flute,6500000,492000,125,2022-09-30,6.442,121,4.6327,"A seventeen year old travels from London to the Austrian Alps to attend the legendary Mozart boarding school. There, he discovers a centuries-old forgotten passageway into the fantastic world of Mozart's ""The Magic Flute"".",Adventure|Fantasy|Music|Family,Flute Film|Bayerischer Banken-Fonds|Centropolis Entertainment|Flimmer Group|TOBIS Film,en,Released
477462,The Twin,2620000,492000,109,2022-04-06,5.813,235,2.5369,"Every parent's worst nightmare is just the beginning for Rachel's ordeal as in the aftermath of a tragic accident, she and her husband Anthony decide to move to the other side of the world to focus on their surviving twin son Elliot.  What begins as a time of healing and isolation in the Finnish countryside turns into a desperate battle for the very soul of their son as an entity claiming to be his dead twin brother takes over Elliot — setting Rachel on a diabolical journey to unravel the horrible truth about her twin son.",Horror|Mystery,Don Films,en,Released
725201,The Gray Man,200000000,454023,129,2022-07-13,6.924,4002,4.7899,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.",Action|Thriller,AGBO|Roth-Kirschenbaum Films,en,Released
714676,Alice,19500000,373043,100,2022-03-18,5.734,77,1.7359,"Alice spends her days enslaved on a rural Georgia plantation, restlessly yearning for freedom. After a violent clash with plantation owner Paul, Alice flees through the neighboring woods and stumbles onto the unfamiliar sight of a highway, soon discovering the year is actually 1973.",Thriller|Drama,Steel Springs Pictures|Vertical|Roadside Attractions,en,Released
